,mass A,
t,θr,
15.374,-83.96,
15.391,-83.95,
15.407,-83.97,
15.424,-84.01,
15.441,-84.11,
15.458,-84.36,
15.474,-84.52,
15.491,-84.74,
15.508,-84.96,
15.525,-85.22,
15.541,-85.52,
15.558,-85.82,
15.575,-86.14,
15.592,-86.49,
15.608,-86.85,
15.625,-87.22,
15.642,-87.63,
15.658,-88.04,
15.675,-88.47,
15.692,-88.90,
15.709,-89.35,
15.725,-89.35,
15.742,-89.81,
15.759,-90.25,
15.776,-90.72,
15.792,-91.18,
15.809,-92.09,
15.826,-92.52,
15.843,-92.97,
15.859,-93.39,
15.876,-93.81,
15.893,-94.19,
15.910,-94.58,
15.926,-94.94,
15.943,-95.28,
15.960,-95.60,
15.977,-95.90,
15.993,-96.18,
16.010,-96.43,
16.027,-96.67,
16.044,-96.86,
16.060,-97.03,
16.077,-97.18,
16.094,-97.30,
16.111,-97.38,
16.127,-97.43,
16.144,-97.44,
16.161,-97.44,
16.178,-97.43,
16.194,-97.34,
16.211,-97.25,
16.228,-97.12,
16.245,-96.96,
16.261,-96.77,
16.278,-96.56,
16.295,-96.31,
16.312,-96.07,
16.328,-95.76,
16.345,-95.44,
16.362,-95.11,
16.379,-94.73,
16.395,-94.38,
16.412,-93.97,
16.429,-93.54,
16.446,-93.11,
16.462,-92.69,
16.479,-92.24,
16.496,-91.77,
16.513,-91.31,
16.529,-90.84,
16.546,-90.38,
16.563,-89.93,
16.580,-89.48,
16.596,-89.03,
16.613,-88.61,
16.630,-88.17,
16.647,-87.74,
16.663,-87.34,
16.680,-86.96,
16.697,-86.58,
16.714,-86.23,
16.730,-85.92,
16.747,-85.62,
16.764,-85.33,
16.781,-85.08,
16.797,-84.87,
16.814,-84.68,
16.831,-84.51,
16.848,-84.38,
16.864,-84.28,
16.881,-84.21,
16.898,-84.17,
16.915,-84.17,
16.931,-84.19,
16.948,-84.24,
16.965,-84.32,
16.982,-84.43,
16.998,-84.57,
17.015,-84.73,
17.032,-84.93,
17.048,-85.17,
17.065,-85.40,
17.082,-85.66,
17.099,-85.95,
17.115,-86.28,
17.132,-86.60,
17.149,-86.96,
17.166,-87.33,
17.182,-87.71,
17.199,-88.12,
17.216,-88.54,
17.233,-88.95,
17.249,-89.37,
17.266,-89.81,
17.283,-90.27,
17.300,-90.72,
17.316,-91.16,
17.333,-91.61,
17.350,-92.04,
17.367,-92.47,
17.383,-92.89,
17.400,-93.30,
17.417,-93.70,
17.434,-94.09,
17.450,-94.45,
17.467,-94.80,
17.484,-95.13,
17.501,-95.44,
17.517,-95.73,
17.534,-96.00,
17.551,-96.25,
17.568,-96.47,
17.584,-96.67,
17.601,-96.83,
17.618,-96.96,
17.635,-97.06,
17.651,-97.13,
17.668,-97.21,
17.685,-97.20,
17.702,-97.19,
17.718,-97.16,
17.735,-97.10,
17.752,-96.98,
17.769,-96.83,
17.785,-96.68,
17.802,-96.51,
17.819,-96.29,
17.836,-96.05,
17.852,-95.79,
17.869,-95.51,
17.886,-95.19,
17.903,-94.86,
17.919,-94.53,
17.936,-94.16,
17.953,-93.77,
17.970,-93.37,
17.986,-92.96,
18.003,-92.54,
18.020,-92.12,
18.037,-91.68,
18.053,-91.22,
18.070,-90.77,
18.087,-90.32,
18.104,-89.88,
18.120,-89.44,
18.137,-89.00,
18.154,-88.56,
18.171,-88.17,
18.187,-87.75,
18.204,-87.37,
18.221,-87.01,
18.238,-86.65,
18.254,-86.32,
18.271,-86.03,
18.288,-85.74,
18.305,-85.45,
18.321,-85.22,
18.338,-85.01,
18.355,-84.83,
18.372,-84.66,
18.388,-84.53,
18.405,-84.44,
18.422,-84.38,
18.439,-84.33,
18.455,-84.33,
18.472,-84.33,
18.489,-84.37,
18.505,-84.45,
18.522,-84.56,
18.539,-84.71,
18.556,-84.87,
18.572,-85.07,
18.589,-85.29,
18.606,-85.56,
18.623,-85.82,
18.639,-86.11,
18.656,-86.43,
18.673,-86.75,
18.690,-87.11,
18.706,-87.49,
18.723,-87.86,
18.740,-88.23,
18.757,-88.65,
18.773,-89.05,
18.790,-89.47,
18.807,-89.91,
18.824,-90.34,
18.840,-90.76,
18.857,-91.17,
18.874,-91.60,
18.891,-92.03,
18.907,-92.45,
18.924,-92.86,
18.941,-93.25,
18.958,-93.61,
18.974,-94.00,
18.991,-94.37,
19.008,-94.68,
19.025,-95.01,
19.041,-95.30,
19.058,-95.59,
19.075,-95.85,
19.092,-96.07,
19.108,-96.27,
19.125,-96.46,
19.142,-96.62,
19.159,-96.74,
19.175,-96.83,
19.192,-96.91,
19.209,-96.95,
19.226,-96.96,
19.242,-96.95,
19.259,-96.92,
19.276,-96.84,
19.293,-96.74,
19.309,-96.62,
19.326,-96.45,
19.343,-96.27,
19.360,-96.07,
19.376,-95.84,
19.393,-95.58,
19.410,-95.30,
19.427,-95.01,
19.443,-94.68,
19.460,-94.35,
19.477,-94.00,
19.494,-93.63,
19.510,-93.24,
19.527,-92.85,
19.544,-92.44,
19.561,-92.03,
19.577,-91.62,
19.594,-91.21,
19.611,-90.77,
19.628,-90.34,
19.644,-89.91,
19.661,-89.48,
19.678,-89.08,
19.695,-88.67,
19.711,-88.29,
19.728,-87.90,
19.745,-87.53,
19.762,-87.16,
19.778,-86.81,
19.795,-86.49,
19.812,-86.19,
19.829,-85.89,
19.845,-85.65,
19.862,-85.43,
19.879,-85.22,
19.895,-85.04,
19.912,-84.88,
19.929,-84.77,
19.946,-84.66,
19.962,-84.60,
19.979,-84.55,
19.996,-84.57,
20.013,-84.59,
20.029,-84.68,
20.046,-84.68,
20.063,-84.78,
20.080,-84.92,
20.096,-85.09,
20.113,-85.27,
20.130,-85.47,
20.147,-85.71,
20.163,-85.96,
20.180,-86.24,
20.197,-86.55,
20.214,-86.88,
20.230,-87.23,
20.247,-87.59,
20.264,-87.95,
20.281,-88.33,
20.297,-88.73,
20.314,-89.53,
20.331,-89.94,
20.348,-90.36,
20.364,-90.78,
20.381,-91.20,
20.398,-91.60,
20.415,-92.02,
20.431,-92.41,
20.448,-92.81,
20.465,-93.17,
20.482,-93.54,
20.498,-93.91,
20.515,-94.25,
20.532,-94.57,
20.549,-94.86,
20.565,-95.17,
20.582,-95.42,
20.599,-95.68,
20.616,-95.91,
20.632,-96.10,
20.649,-96.29,
20.666,-96.43,
20.683,-96.57,
20.699,-96.66,
20.716,-96.73,
20.733,-96.76,
20.750,-96.79,
20.766,-96.79,
20.783,-96.77,
20.800,-96.71,
20.817,-96.59,
20.833,-96.46,
20.850,-96.32,
20.867,-96.15,
20.884,-95.95,
20.900,-95.72,
20.917,-95.47,
20.934,-95.20,
20.951,-94.92,
20.967,-94.60,
20.984,-94.28,
21.001,-93.92,
21.018,-93.55,
21.034,-93.19,
21.051,-92.81,
21.068,-92.39,
21.085,-92.00,
21.101,-91.60,
21.118,-91.21,
21.135,-90.79,
21.152,-90.35,
21.168,-89.96,
21.185,-89.55,
21.202,-89.14,
21.219,-88.74,
21.235,-88.37,
21.252,-88.00,
21.269,-87.65,
21.286,-87.28,
21.302,-86.95,
21.319,-86.64,
21.336,-86.33,
21.352,-86.08,
21.369,-85.83,
21.386,-85.61,
21.403,-85.39,
21.419,-85.22,
21.436,-85.07,
21.453,-84.95,
21.470,-84.88,
21.486,-84.82,
21.503,-84.78,
21.520,-84.77,
21.537,-84.78,
21.553,-84.81,
21.570,-84.90,
21.587,-84.99,
21.604,-85.12,
21.620,-85.27,
21.637,-85.46,
21.654,-85.66,
21.671,-85.90,
21.687,-86.14,
21.704,-86.41,
21.721,-86.70,
21.738,-87.02,
21.754,-87.34,
21.771,-87.69,
21.788,-88.05,
21.805,-88.44,
21.821,-88.80,
21.838,-89.19,
21.855,-89.58,
21.872,-89.99,
21.888,-90.37,
21.905,-90.79,
21.922,-91.18,
21.939,-91.58,
21.955,-91.97,
21.972,-92.36,
21.989,-92.74,
22.006,-93.10,
22.022,-93.47,
22.039,-93.80,
22.056,-94.14,
22.073,-94.45,
22.089,-94.76,
22.106,-95.03,
22.123,-95.29,
22.140,-95.54,
22.156,-95.76,
22.173,-95.97,
22.190,-96.15,
22.207,-96.28,
22.223,-96.39,
22.240,-96.46,
22.257,-96.53,
22.274,-96.56,
22.290,-96.58,
22.307,-96.57,
22.324,-96.55,
22.341,-96.48,
22.357,-96.38,
22.374,-96.25,
22.391,-96.12,
22.408,-95.95,
22.424,-95.74,
22.441,-95.53,
22.458,-95.29,
22.475,-95.01,
22.491,-94.74,
22.508,-94.44,
22.525,-94.14,
22.542,-93.80,
22.558,-93.45,
22.575,-93.08,
22.592,-92.72,
22.609,-92.35,
22.625,-91.95,
22.642,-91.58,
22.659,-91.16,
22.676,-90.78,
22.692,-90.36,
22.709,-89.98,
22.726,-89.59,
22.742,-89.20,
22.759,-88.81,
22.776,-88.44,
22.793,-88.10,
22.809,-87.77,
22.826,-87.45,
22.843,-87.13,
22.860,-86.83,
22.876,-86.54,
22.893,-86.28,
22.910,-86.03,
22.927,-85.81,
22.943,-85.61,
22.960,-85.44,
22.977,-85.29,
22.994,-85.20,
23.010,-85.11,
23.027,-85.04,
23.044,-85.00,
